Keyword,Campaign,Ad group,Max CPC
[free direct debit links for websites],DD Direct Debit BM,Direct Debit,0.763
"""go cardless""",Brand PM,Brand,0.748
"""online payment systems""",Online Payments PM,Systems Online,0.743
"""online payment system""",Online Payments PM,Systems Online,0.743
"""payment systems online""",Online Payments PM,Systems Online,0.743
"""online billing software""",Online Payments PM,Systems Online,0.743
"""online billing system""",Online Payments PM,Systems Online,0.743
"""secure online payment systems""",Online Payments PM,Systems Online,0.743
"""online payment software""",Online Payments PM,Systems Online,0.743
"""secure online payment system""",Online Payments PM,Systems Online,0.743
"""online payments systems""",Online Payments PM,Systems Online,0.743
"""secure online payment software""",Online Payments PM,Systems Online,0.743
"""online payment systems for e-commerce""",Online Payments PM,Systems Online,0.743
"""online payment systems comparison""",Online Payments PM,Systems Online,0.743
"""online payment systems review""",Online Payments PM,Systems Online,0.743
"""cheapest online payment software""",Online Payments PM,Systems Online,0.743
"""cheapest online payment system""",Online Payments PM,Systems Online,0.743
"""cheap online payment systems""",Online Payments PM,Systems Online,0.743
"""online payment systems for small business""",Online Payments PM,Systems Online,0.743
"""set up online payment system""",Online Payments PM,Systems Online,0.743
"""how to set up an online payment system""",Online Payments PM,Systems Online,0.743
"""how to set up an online payment software""",Online Payments PM,Systems Online,0.743
"""set up online payment software""",Online Payments PM,Systems Online,0.743
"""online payment gateways""",Online Payments PM,Online Gateway,0.743
"""online payment gateway""",Online Payments PM,Online Gateway,0.743
"""free online payment gateway""",Online Payments PM,Online Gateway,0.743
"""online payments gateway""",Online Payments PM,Online Gateway,0.743
"""online payment gateway comparison""",Online Payments PM,Online Gateway,0.743
"""cheapest online payment gateway""",Online Payments PM,Online Gateway,0.743
"""online gateway payment services""",Online Payments PM,Online Gateway,0.743
"""accept payments online""",Online Payments PM,Accept Online,0.743
"""accepting online payment""",Online Payments PM,Accept Online,0.743
"""accept online payment""",Online Payments PM,Accept Online,0.743
"""accept payment online""",Online Payments PM,Accept Online,0.743
"""accepting online payments""",Online Payments PM,Accept Online,0.743
"""accepting payments online""",Online Payments PM,Accept Online,0.743
"""how to accept payments online""",Online Payments PM,Accept Online,0.743
"""how to accept online payments""",Online Payments PM,Accept Online,0.743
"""secure payment""",Online Payments PM,Secure Payment,0.743
"""secure payments""",Online Payments PM,Secure Payment,0.743
"""secure online payments""",Online Payments PM,Secure Payment,0.743
"""secure online payment""",Online Payments PM,Secure Payment,0.743
"""online payment security""",Online Payments PM,Secure Payment,0.743
"""secure payments online""",Online Payments PM,Secure Payment,0.743
"""secure payment online""",Online Payments PM,Secure Payment,0.743
"""secure payment services""",Online Payments PM,Secure Payment,0.743
"""online secure payment""",Online Payments PM,Secure Payment,0.743
"""secure payment service""",Online Payments PM,Secure Payment,0.743
"""secure payments service""",Online Payments PM,Secure Payment,0.743
"""secure payment methods""",Online Payments PM,Secure Payment,0.743
"""payment security online""",Online Payments PM,Secure Payment,0.743
"""online secure payments""",Online Payments PM,Secure Payment,0.743
"""secure online payment services""",Online Payments PM,Secure Payment,0.743
"""secure payments services""",Online Payments PM,Secure Payment,0.743
"""secure-payment-services.com""",Online Payments PM,Secure Payment,0.743
"""secure payment services login""",Online Payments PM,Secure Payment,0.743
"""secure payment services sign in""",Online Payments PM,Secure Payment,0.743
"""online payment processing""",Online Payments PM,Online Processing,0.743
"""online payment process""",Online Payments PM,Online Processing,0.743
"""process payments online""",Online Payments PM,Online Processing,0.743
"""online payment processing services""",Online Payments PM,Online Processing,0.743
"""payment processing online""",Online Payments PM,Online Processing,0.743
"""online payments processing""",Online Payments PM,Online Processing,0.743
"""processing payments online""",Online Payments PM,Online Processing,0.743
"""cheapest online payment processing""",Online Payments PM,Online Processing,0.743
"""payment services""",Online Payments PM,Payment Services,0.743
"""online payment services""",Online Payments PM,Payment Services,0.743
"""payment service""",Online Payments PM,Payment Services,0.743
"""online payment service""",Online Payments PM,Payment Services,0.743
"""bill payment services""",Online Payments PM,Payment Services,0.743
"""payments services""",Online Payments PM,Payment Services,0.743
"""online payments services""",Online Payments PM,Payment Services,0.743
"""online payment services comparison""",Online Payments PM,Payment Services,0.743
"""take online payments""",Online Payments PM,Take Payment,0.743
"""take payments online""",Online Payments PM,Take Payment,0.743
"""take payment online""",Online Payments PM,Take Payment,0.743
"""taking online payments""",Online Payments PM,Take Payment,0.743
"""taking payments online""",Online Payments PM,Take Payment,0.743
"""taking payment online""",Online Payments PM,Take Payment,0.743
"""how to take online payments""",Online Payments PM,Take Payment,0.743
"""how to take payments online""",Online Payments PM,Take Payment,0.743
"""online payments uk""",Online Payments PM,Uk Payment,0.743
"""online payment uk""",Online Payments PM,Uk Payment,0.743
"""online payment services uk""",Online Payments PM,Uk Payment,0.743
"""online payment systems uk""",Online Payments PM,Uk Payment,0.743
"""payment service providers uk""",Online Payments PM,Uk Payment,0.743
"""free merchant account""",Online Payments PM,Merchant Account,0.743
"""internet merchant account""",Online Payments PM,Merchant Account,0.743
"""merchant accounts""",Online Payments PM,Merchant Account,0.743
"""merchant account""",Online Payments PM,Merchant Account,0.743
"""international merchant account""",Online Payments PM,Merchant Account,0.743
"""offshore merchant account""",Online Payments PM,Merchant Account,0.743
"""high risk merchant account""",Online Payments PM,Merchant Account,0.743
"""high risk merchant accounts""",Online Payments PM,Merchant Account,0.743
"""internet merchant accounts""",Online Payments PM,Merchant Account,0.743
"""merchant account providers""",Online Payments PM,Merchant Account,0.743
"""small business merchant account""",Online Payments PM,Merchant Account,0.743
"""ecommerce merchant account""",Online Payments PM,Merchant Account,0.743
"""best merchant account""",Online Payments PM,Merchant Account,0.743
"""instant merchant account""",Online Payments PM,Merchant Account,0.743
"""merchant bank account""",Online Payments PM,Merchant Account,0.743
"""merchant account provider""",Online Payments PM,Merchant Account,0.743
"""merchant account uk""",Online Payments PM,Merchant Account,0.743
"""merchant account internet""",Online Payments PM,Merchant Account,0.743
"""merchant account reviews""",Online Payments PM,Merchant Account,0.743
"""merchant account fees""",Online Payments PM,Merchant Account,0.743
"""merchant account comparison""",Online Payments PM,Merchant Account,0.743
"""merchant service""",Online Payments PM,Merchant Services,0.743
"""merchant processing services""",Online Payments PM,Merchant Services,0.743
"""merchant account services""",Online Payments PM,Merchant Services,0.743
"""merchant account service""",Online Payments PM,Merchant Services,0.743
"""merchant service provider""",Online Payments PM,Merchant Services,0.743
"""merchant services provider""",Online Payments PM,Merchant Services,0.743
"""first data merchant services""",Online Payments PM,Merchant Services,0.743
"""online merchant services""",Online Payments PM,Merchant Services,0.743
"""merchant services reviews""",Online Payments PM,Merchant Services,0.743
"""elavon merchant services""",Online Payments PM,Merchant Services,0.743
"""flagship merchant services""",Online Payments PM,Merchant Services,0.743
"""receive online payments""",Online Payments PM,Receive Online,0.743
"""receive money online""",Online Payments PM,Receive Online,0.743
"""receive payments online""",Online Payments PM,Receive Online,0.743
"""receive payment online""",Online Payments PM,Receive Online,0.743
"""receiving online payments""",Online Payments PM,Receive Online,0.743
"""how to receive payments online""",Online Payments PM,Receive Online,0.743
"""receiving payments online""",Online Payments PM,Receive Online,0.743
direct debit payment,DD Payment BM,Direct Debit Payment,0.743
[by direct debit],DD Long Tail EM,By Direct Debit,0.730
[collect payments by direct debit],DD Long Tail EM,By Direct Debit,0.730
[direct debit account number],DD Long Tail EM,Direct Debit Account Number,0.730
[direct debit advance notice],DD Long Tail EM,Direct Debit Advance Notice,0.730
[direct debit agreement],DD Long Tail EM,Direct Debit Agreement,0.730
[direct debit api],DD Long Tail EM,Direct Debit Api,0.730
[direct debit application],DD Long Tail EM,Direct Debit Application,0.730
[direct debit application form],DD Long Tail EM,Direct Debit Application Form,0.730
[direct debit authorization form],DD Long Tail EM,Direct Debit Authorization Form,0.730
[direct debit details],DD Long Tail EM,Direct Debit Details,0.730
[direct debit expert],DD Long Tail EM,Direct Debit Expert,0.730
[direct debit fees],DD Long Tail EM,Direct Debit Fees,0.730
[direct debit fees for business],DD Long Tail EM,Direct Debit Fees For Business,0.730
[direct debit form],DD Long Tail EM,Direct Debit Form,0.730
[direct debit form reference number],DD Long Tail EM,Direct Debit Form Reference Number,0.730
[direct debit form template],DD Long Tail EM,Direct Debit Form Template,0.730
[direct debit indemnity],DD Long Tail EM,Direct Debit Indemnity,0.730
[direct debit information],DD Long Tail EM,Direct Debit Information,0.730
[direct debit law],DD Long Tail EM,Direct Debit Law,0.730
[direct debit laws],DD Long Tail EM,Direct Debit Laws,0.730
[direct debit legislation],DD Long Tail EM,Direct Debit Legislation,0.730
[direct debit mandate],DD Long Tail EM,Direct Debit Mandate,0.730
[direct debit mandate form template],DD Long Tail EM,Direct Debit Mandate Form Template,0.730
[direct debit mandate rules],DD Long Tail EM,Direct Debit Mandate Rules,0.730
[direct debit mandate template],DD Long Tail EM,Direct Debit Mandate Template,0.730
[direct debit mandates],DD Long Tail EM,Direct Debit Mandates,0.730
[sending and recieving direct debit mandate],DD Long Tail EM,Direct Debit Mandates,0.730
[direct debit no instruction],DD Long Tail EM,Direct Debit No Instruction,0.730
[direct debit scheme],DD Long Tail EM,Direct Debit Scheme,0.730
[direct debit scheme rules],DD Long Tail EM,Direct Debit Scheme Rules,0.730
[direct debit scheme rules uk],DD Long Tail EM,Direct Debit Scheme Rules Uk,0.730
[direct debit service user number],DD Long Tail EM,Direct Debit Service User Number,0.730
[direct debit small business],DD Long Tail EM,Direct Debit Small Business,0.730
[direct debit uk],DD Long Tail EM,Direct Debit Uk,0.730
[direct debit wordpress],DD Long Tail EM,Direct Debit Wordpress,0.730
[direct debits for small companies],DD Long Tail EM,Direct Debits For Small Companies,0.730
[european direct debit],DD Long Tail EM,European Direct Debit,0.730
[international direct debit],DD Long Tail EM,International Direct Debit,0.730
[moving direct debits],DD Long Tail EM,Moving Direct Debits,0.730
[payless direct debit],DD Long Tail EM,Payless Direct Debit,0.730
[receiving monthly direct debit],DD Long Tail EM,Receiving Monthly Direct Debit,0.730
[small business direct debit],DD Long Tail EM,Small Business Direct Debit,0.730
[standing orders and direct debits],DD Long Tail EM,Standing Orders And Direct Debits,0.730
[sun number direct debit],DD Long Tail EM,Sun Number Direct Debit,0.730
[the direct debit guarantee],DD Long Tail EM,The Direct Debit Guarantee,0.730
[transfer direct debits],DD Long Tail EM,Transfer Direct Debits,0.730
[transferring direct debits],DD Long Tail EM,Transferring Direct Debits,0.730
[variable direct debit],DD Long Tail EM,Variable Direct Debit,0.730
[simpler direct debit],DD Long Tail EM,Simpler Direct Debit,0.730
[direct debit setup],DD Long Tail EM,Direct Debit Setup,0.730
[cardless payment],DD Long Tail EM,Misc,0.730
[cardless payments],DD Long Tail EM,Misc,0.730
[non card payments],DD Long Tail EM,Misc,0.730
[noncard payments],DD Long Tail EM,Misc,0.730
[direct debit companies],DD Long Tail EM,Compare Direct Debit,0.730
[compare direct debit],DD Long Tail EM,Compare Direct Debit,0.730
[compare direct debit companies],DD Long Tail EM,Compare Direct Debit,0.730
[best direct debit company],DD Long Tail EM,Compare Direct Debit,0.730
[compare direct debit company],DD Long Tail EM,Compare Direct Debit,0.730
[direct debit best company],DD Long Tail EM,Compare Direct Debit,0.730
[direct debit company best],DD Long Tail EM,Compare Direct Debit,0.730
[direct debit compare],DD Long Tail EM,Compare Direct Debit,0.730
"""donate button""",Charity PM,Donate Button,0.715
 --, --, --,0.700
 +direct +debit +payment,DD Payment BM,Direct Debit Payment,0.692
[dd payments],DD Payment BM,Direct Debit Payment,0.692
 +direct +debit +payments,DD Payment BM,Direct Debit Payments,0.692
direct debits maximum monthly payments,DD Payment BM,Direct Debits Maximum Monthly Payments,0.692
 +direct +debits +maximum +monthly +payments,DD Payment BM,Direct Debits Maximum Monthly Payments,0.692
payment direct debit,DD Payment BM,Payment Direct Debit,0.692
 +payment +direct +debit,DD Payment BM,Payment Direct Debit,0.692
direct debit payments can they be by your bank,DD Payment BM,Direct Debit Payments Can They Be By Your Bank,0.692
 +direct +debit +payments +can +they +be +by +your +bank,DD Payment BM,Direct Debit Payments Can They Be By Your Bank,0.692
how to accept payments by direct debit,DD Payment BM,How To Accept Payments By Direct Debit,0.692
 +how +to +accept +payments +by +direct +debit,DD Payment BM,How To Accept Payments By Direct Debit,0.692
what is a direct debit payment,DD Payment BM,What Is A Direct Debit Payment,0.692
 +what +is +a +direct +debit +payment,DD Payment BM,What Is A Direct Debit Payment,0.692
i want to collect payments through direct debits,DD Payment BM,I Want To Collect Payments Through Direct Debits,0.692
 +i +want +to +collect +payments +through +direct +debits,DD Payment BM,I Want To Collect Payments Through Direct Debits,0.692
set up a website with direct debit payments,DD Payment BM,Set Up A Website With Direct Debit Payments,0.692
 +set +up +a +website +with +direct +debit +payments,DD Payment BM,Set Up A Website With Direct Debit Payments,0.692
taking direct debit payments,DD Payment BM,Taking Direct Debit Payments,0.692
 +taking +direct +debit +payments,DD Payment BM,Taking Direct Debit Payments,0.692
accept direct debit payments,DD Payment BM,Accept Direct Debit Payments,0.692
 +accept +direct +debit +payments,DD Payment BM,Accept Direct Debit Payments,0.692
collect direct debit payments,DD Payment BM,Collect Direct Debit Payments,0.692
 +collect +direct +debit +payments,DD Payment BM,Collect Direct Debit Payments,0.692
[bacs approved bureau],Bacs EM,Bacs Approved Bureau,0.619
[bacs bureau],Bacs EM,Bacs Bureau,0.619
[bacs charges],Bacs EM,Bacs Charges,0.619
[bacs form],Bacs EM,Bacs Form,0.619
[bacs ip for free],Bacs EM,Bacs Ip For Free,0.619
[bacs ip software],Bacs EM,Bacs Ip Software,0.619
[bacs payroll],Bacs EM,Bacs Payroll,0.619
[bacs remittance],Bacs EM,Bacs Remittance,0.619
[bacs remittance advice],Bacs EM,Bacs Remittance Advice,0.619
[bisl bacs account],Bacs EM,Bisl Bacs Account,0.619
[pay via bacs],Bacs EM,Pay Via Bacs,0.619
[paymentservices.bacs.co.uk],Bacs EM,Paymentservices.Bacs.Co.Uk,0.619
[bacs and chaps],Bacs EM,Bacs And Chaps,0.619
[bacs and chaps difference],Bacs EM,Bacs And Chaps Difference,0.619
[bacs and chaps payments],Bacs EM,Bacs And Chaps Payments,0.619
[bacs chaps],Bacs EM,Bacs Chaps,0.619
[bacs or chaps],Bacs EM,Bacs Or Chaps,0.619
[chaps and bacs],Bacs EM,Chaps And Bacs,0.619
[chaps and bacs difference],Bacs EM,Chaps And Bacs Difference,0.619
[chaps bacs],Bacs EM,Chaps Bacs,0.619
[chaps bacs difference],Bacs EM,Chaps Bacs Difference,0.619
[chaps or bacs],Bacs EM,Chaps Or Bacs,0.619
[bacs direct],Bacs EM,Bacs Direct,0.619
[bacs direct credit],Bacs EM,Bacs Direct Credit,0.619
[bacs direct debit],Bacs EM,Bacs Direct Debit,0.619
[bacs direct debit rules],Bacs EM,Bacs Direct Debit Rules,0.619
[direct bacs],Bacs EM,Direct Bacs,0.619
[direct debit bacs],Bacs EM,Direct Debit Bacs,0.619
[bacs details for payment],Bacs EM,Bacs Details For Payment,0.619
[bacs online payment],Bacs EM,Bacs Online Payment,0.619
[bacs payment details],Bacs EM,Bacs Payment Details,0.619
[bacs payment software],Bacs EM,Bacs Payment Software,0.619
[bacs payment system],Bacs EM,Bacs Payment System,0.619
[how to send a bacs payment],Bacs EM,How To Send A Bacs Payment,0.619
[how to set up a bacs payment],Bacs EM,How To Set Up A Bacs Payment,0.619
[how to set up bacs payments],Bacs EM,How To Set Up Bacs Payments,0.619
[payment methods bacs],Bacs EM,Payment Methods Bacs,0.619
[payment via bacs],Bacs EM,Payment Via Bacs,0.619
[bacs money transfer],Bacs EM,Bacs Money Transfer,0.619
[bacs transfer cost],Bacs EM,Bacs Transfer Cost,0.619
[cost of bacs transfer],Bacs EM,Cost Of Bacs Transfer,0.619
[chaps or faster payments],Bacs EM,Chaps Or Faster Payments,0.619
[chaps payment],Bacs EM,Chaps Payment,0.619
[chaps payment system],Bacs EM,Chaps Payment System,0.619
[chaps payments],Bacs EM,Chaps Payments,0.619
[chaps payments uk],Bacs EM,Chaps Payments Uk,0.619
[payment by chaps],Bacs EM,Payment By Chaps,0.619
[make a bacs payment],Bacs EM,Make A Bacs Payment,0.619
[making a bacs payment],Bacs EM,Making A Bacs Payment,0.619
[how to pay via bank transfer],Bacs EM,How To Pay Via Bank Transfer,0.619
[how to pay with bank transfer],Bacs EM,How To Pay With Bank Transfer,0.619
[pay bank transfer],Bacs EM,Pay Bank Transfer,0.619
[pay by bank transfer],Bacs EM,Pay By Bank Transfer,0.619
[pay via bank transfer],Bacs EM,Pay Via Bank Transfer,0.619
[pay with bank account],Bacs EM,Pay With Bank Account,0.619
[pay with bank transfer],Bacs EM,Pay With Bank Transfer,0.619
[paying via bank transfer],Bacs EM,Paying Via Bank Transfer,0.619
[bacs payment service],Bacs EM,Bacs Payment Service,0.619
[bacs payment services website],Bacs EM,Bacs Payment Services Website,0.619
[bacs service desk],Bacs EM,Bacs Service Desk,0.619
[payment services bacs],Bacs EM,Payment Services Bacs,0.619
[bacs payments services],Bacs EM,Bacs Payments Services,0.619
direct debit payments,DD Payment BM,Direct Debit Payments,0.583
direct debit,DD Direct Debit BM,Direct Debit,0.568
Recurring Payments,Recurring Payments BM,Recurring,0.568
[bacs payment services],Bacs EM,Bacs Payment Services,0.568
"""go card less""",Brand PM,Brand,0.567
"""gocard less""",Brand PM,Brand,0.567
"""gocardles""",Brand PM,Brand,0.567
"""gocardless""",Brand PM,Brand,0.523
"""bank direct debit""",DD Banks PM,Bank Direct Debit,0.515
"""barclays bank direct debit""",DD Banks PM,Barclays Bank Direct Debit,0.515
"""barclays direct debit""",DD Banks PM,Barclays Direct Debit,0.515
"""direct debit bank""",DD Banks PM,Direct Debit Bank,0.515
"""direct debit barclays""",DD Banks PM,Direct Debit Barclays,0.515
"""direct debits""",DD Direct Debit PM,Direct Debits,0.495
"""bacs approved bureau""",Bacs PM,Bacs Approved Bureau,0.485
"""bacs bureau""",Bacs PM,Bacs Bureau,0.485
"""bacs charges""",Bacs PM,Bacs Charges,0.485
"""bacs form""",Bacs PM,Bacs Form,0.485
"""bacs ip for free""",Bacs PM,Bacs Ip For Free,0.485
"""bacs ip software""",Bacs PM,Bacs Ip Software,0.485
"""bacs payroll""",Bacs PM,Bacs Payroll,0.485
"""bacs remittance""",Bacs PM,Bacs Remittance,0.485
"""bacs remittance advice""",Bacs PM,Bacs Remittance Advice,0.485
"""bisl bacs account""",Bacs PM,Bisl Bacs Account,0.485
"""pay via bacs""",Bacs PM,Pay Via Bacs,0.485
"""paymentservices.bacs.co.uk""",Bacs PM,Paymentservices.Bacs.Co.Uk,0.485
"""bacs and chaps""",Bacs PM,Bacs And Chaps,0.485
"""bacs and chaps difference""",Bacs PM,Bacs And Chaps Difference,0.485
"""bacs and chaps payments""",Bacs PM,Bacs And Chaps Payments,0.485
"""bacs chaps""",Bacs PM,Bacs Chaps,0.485
"""bacs or chaps""",Bacs PM,Bacs Or Chaps,0.485
"""chaps and bacs""",Bacs PM,Chaps And Bacs,0.485
"""chaps and bacs difference""",Bacs PM,Chaps And Bacs Difference,0.485
"""chaps bacs""",Bacs PM,Chaps Bacs,0.485
"""chaps bacs difference""",Bacs PM,Chaps Bacs Difference,0.485
"""chaps or bacs""",Bacs PM,Chaps Or Bacs,0.485
"""bacs direct""",Bacs PM,Bacs Direct,0.485
"""bacs direct credit""",Bacs PM,Bacs Direct Credit,0.485
"""bacs direct debit""",Bacs PM,Bacs Direct Debit,0.485
"""bacs direct debit rules""",Bacs PM,Bacs Direct Debit Rules,0.485
"""direct bacs""",Bacs PM,Direct Bacs,0.485
"""direct debit bacs""",Bacs PM,Direct Debit Bacs,0.485
"""bacs details for payment""",Bacs PM,Bacs Details For Payment,0.485
"""bacs online payment""",Bacs PM,Bacs Online Payment,0.485
"""bacs payment details""",Bacs PM,Bacs Payment Details,0.485
"""bacs payment software""",Bacs PM,Bacs Payment Software,0.485
"""bacs payment system""",Bacs PM,Bacs Payment System,0.485
"""bacs payments""",Bacs PM,Bacs Payments,0.485
"""how to send a bacs payment""",Bacs PM,How To Send A Bacs Payment,0.485
"""how to set up a bacs payment""",Bacs PM,How To Set Up A Bacs Payment,0.485
"""how to set up bacs payments""",Bacs PM,How To Set Up Bacs Payments,0.485
"""payment methods bacs""",Bacs PM,Payment Methods Bacs,0.485
"""payment via bacs""",Bacs PM,Payment Via Bacs,0.485
"""bacs money transfer""",Bacs PM,Bacs Money Transfer,0.485
"""bacs transfer cost""",Bacs PM,Bacs Transfer Cost,0.485
"""cost of bacs transfer""",Bacs PM,Cost Of Bacs Transfer,0.485
"""chaps or faster payments""",Bacs PM,Chaps Or Faster Payments,0.485
"""chaps payment""",Bacs PM,Chaps Payment,0.485
"""chaps payment system""",Bacs PM,Chaps Payment System,0.485
"""chaps payments""",Bacs PM,Chaps Payments,0.485
"""chaps payments uk""",Bacs PM,Chaps Payments Uk,0.485
"""payment by chaps""",Bacs PM,Payment By Chaps,0.485
"""make a bacs payment""",Bacs PM,Make A Bacs Payment,0.485
"""making a bacs payment""",Bacs PM,Making A Bacs Payment,0.485
"""how to pay via bank transfer""",Bacs PM,How To Pay Via Bank Transfer,0.485
"""how to pay with bank transfer""",Bacs PM,How To Pay With Bank Transfer,0.485
"""pay bank transfer""",Bacs PM,Pay Bank Transfer,0.485
"""pay by bank transfer""",Bacs PM,Pay By Bank Transfer,0.485
"""pay via bank transfer""",Bacs PM,Pay Via Bank Transfer,0.485
"""pay with bank account""",Bacs PM,Pay With Bank Account,0.485
"""pay with bank transfer""",Bacs PM,Pay With Bank Transfer,0.485
"""paying via bank transfer""",Bacs PM,Paying Via Bank Transfer,0.485
"""bacs payment service""",Bacs PM,Bacs Payment Service,0.485
"""bacs payment services""",Bacs PM,Bacs Payment Services,0.485
"""bacs payment services website""",Bacs PM,Bacs Payment Services Website,0.485
"""bacs service desk""",Bacs PM,Bacs Service Desk,0.485
"""payment services bacs""",Bacs PM,Payment Services Bacs,0.485
"""bacs payments services""",Bacs PM,Bacs Payments Services,0.485
[set up direct debit],DD Services EM,Set Up Direct Debit,0.455
"""accept donation online""",Charity PM,Accept Donation Online,0.453
"""accept online donation""",Charity PM,Accept Online Donation,0.453
"""accept online donations""",Charity PM,Accept Online Donations,0.453
"""accepting online donations""",Charity PM,Accepting Online Donations,0.453
"""how to accept donations online""",Charity PM,How To Accept Donations Online,0.453
"""how to accept online donations""",Charity PM,How To Accept Online Donations,0.453
"""ways to accept donations online""",Charity PM,Ways To Accept Donations Online,0.453
"""accept donation""",Charity PM,Accept Donation,0.453
"""accept donations""",Charity PM,Accept Donations,0.453
"""accepting donation""",Charity PM,Accepting Donation,0.453
"""accepting donations""",Charity PM,Accepting Donations,0.453
"""how to accept donations""",Charity PM,How To Accept Donations,0.453
"""i accept donations""",Charity PM,I Accept Donations,0.453
"""we accept donations""",Charity PM,We Accept Donations,0.453
"""charity donate online""",Charity PM,Charity Donate Online,0.453
"""charity donation online""",Charity PM,Charity Donation Online,0.453
"""charity donations online""",Charity PM,Charity Donations Online,0.453
"""charity fundraising online""",Charity PM,Charity Fundraising Online,0.453
"""charity online""",Charity PM,Charity Online,0.453
"""charity online donation""",Charity PM,Charity Online Donation,0.453
"""charity online donations""",Charity PM,Charity Online Donations,0.453
"""charity online fundraising""",Charity PM,Charity Online Fundraising,0.453
"""charity online shop""",Charity PM,Charity Online Shop,0.453
"""charity shop online""",Charity PM,Charity Shop Online,0.453
"""donate charity online""",Charity PM,Donate Charity Online,0.453
"""donate money to charity online""",Charity PM,Donate Money To Charity Online,0.453
"""donate online charity""",Charity PM,Donate Online Charity,0.453
"""donate online to charity""",Charity PM,Donate Online To Charity,0.453
"""donate to charities online""",Charity PM,Donate To Charities Online,0.453
"""donate to charity online""",Charity PM,Donate To Charity Online,0.453
"""online charities""",Charity PM,Online Charities,0.453
"""online charity auction""",Charity PM,Online Charity Auction,0.453
"""online charity auctions""",Charity PM,Online Charity Auctions,0.453
"""online charity donation services""",Charity PM,Online Charity Donation Services,0.453
"""online charity donations""",Charity PM,Online Charity Donations,0.453
"""online charity fundraising""",Charity PM,Online Charity Fundraising,0.453
"""online charity shops""",Charity PM,Online Charity Shops,0.453
"""online charity work""",Charity PM,Online Charity Work,0.453
"""online donation for charity""",Charity PM,Online Donation For Charity,0.453
"""online donations for charities""",Charity PM,Online Donations For Charities,0.453
"""online donations for charity""",Charity PM,Online Donations For Charity,0.453
"""charity shops online""",Charity PM,Charity Shops Online,0.453
"""online charities to donate to""",Charity PM,Online Charities To Donate To,0.453
"""raise money online for charity""",Charity PM,Raise Money Online For Charity,0.453
"""charity donation site""",Charity PM,Charity Donation Site,0.453
"""charity donation sites""",Charity PM,Charity Donation Sites,0.453
"""charity fundraising site""",Charity PM,Charity Fundraising Site,0.453
"""charity fundraising sites""",Charity PM,Charity Fundraising Sites,0.453
"""charity giving site""",Charity PM,Charity Giving Site,0.453
"""charity giving sites""",Charity PM,Charity Giving Sites,0.453
"""charity site""",Charity PM,Charity Site,0.453
"""charity sites""",Charity PM,Charity Sites,0.453
"""charity sites fundraising""",Charity PM,Charity Sites Fundraising,0.453
"""fundraising sites for charity""",Charity PM,Fundraising Sites For Charity,0.453
"""online charity donation site""",Charity PM,Online Charity Donation Site,0.453
"""online charity donation sites""",Charity PM,Online Charity Donation Sites,0.453
"""online charity fundraising sites""",Charity PM,Online Charity Fundraising Sites,0.453
"""collect donations""",Charity PM,Collect Donations,0.453
"""collect online donations""",Charity PM,Collect Online Donations,0.453
"""collecting donations online""",Charity PM,Collecting Donations Online,0.453
"""how to collect donations online""",Charity PM,How To Collect Donations Online,0.453
"""online donation collection""",Charity PM,Online Donation Collection,0.453
"""create a donate button""",Charity PM,Create A Donate Button,0.453
"""create a donation account""",Charity PM,Create A Donation Account,0.453
"""create donate button""",Charity PM,Create Donate Button,0.453
"""create donation button""",Charity PM,Create Donation Button,0.453
"""how to create a donate button""",Charity PM,How To Create A Donate Button,0.453
"""how to create a donation form""",Charity PM,How To Create A Donation Form,0.453
"""how to create a donation fund""",Charity PM,How To Create A Donation Fund,0.453
"""button donate""",Charity PM,Button Donate,0.453
"""donate now button""",Charity PM,Donate Now Button,0.453
"""donate online button""",Charity PM,Donate Online Button,0.453
"""donations button""",Charity PM,Donations Button,0.453
"""how to make a donate button""",Charity PM,How To Make A Donate Button,0.453
"""how to make a donation button""",Charity PM,How To Make A Donation Button,0.453
"""make a donate button""",Charity PM,Make A Donate Button,0.453
"""make a donation button""",Charity PM,Make A Donation Button,0.453
"""make donation button""",Charity PM,Make Donation Button,0.453
"""accept donations online""",Charity PM,Accept Donations Online,0.453
"""accepting donations online""",Charity PM,Accepting Donations Online,0.453
"""collect donations online""",Charity PM,Collect Donations Online,0.453
"""donate online""",Charity PM,Donate Online,0.453
"""donating online""",Charity PM,Donating Online,0.453
"""donation online""",Charity PM,Donation Online,0.453
"""donations online""",Charity PM,Donations Online,0.453
"""online donation""",Charity PM,Online Donation,0.453
"""online donation page""",Charity PM,Online Donation Page,0.453
"""online donation services""",Charity PM,Online Donation Services,0.453
"""online donation site""",Charity PM,Online Donation Site,0.453
"""online donation sites""",Charity PM,Online Donation Sites,0.453
"""online donations""",Charity PM,Online Donations,0.453
"""online donate""",Charity PM,Online Donate,0.453
"""online donation system""",Charity PM,Online Donation System,0.453
"""donate account""",Charity PM,Donate Account,0.453
"""donation account""",Charity PM,Donation Account,0.453
"""donation bank account""",Charity PM,Donation Bank Account,0.453
"""donations account""",Charity PM,Donations Account,0.453
"""how do i set up a donation account""",Charity PM,How Do I Set Up A Donation Account,0.453
"""how to set up a donation account""",Charity PM,How To Set Up A Donation Account,0.453
"""how to set up account for donations""",Charity PM,How To Set Up Account For Donations,0.453
"""how to set up an account for donations""",Charity PM,How To Set Up An Account For Donations,0.453
